# Axial (center line) profile RAO nozzle / chemical equilibrium
# Columns:
# 1: Distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -5.782956338E+01 5.989258813E+00 7.750849267E+02 8.628604235E+06 3.711964942E+03 6.068459438E-01 2.350862399E-01 2.401123939E-01 7.669302415E-03 3.818772586E-01 6.931517107E-02 5.191320947E-02
 -5.468889648E+01 5.943189246E+00 7.916351788E+02 8.550914744E+06 3.708981799E+03 6.201639018E-01 2.349054958E-01 2.403971336E-01 7.661122149E-03 3.820597416E-01 6.916507499E-02 5.183264770E-02
 -5.163970532E+01 5.895047095E+00 8.081300494E+02 8.473789644E+06 3.706011618E+03 6.334225429E-01 2.347364355E-01 2.406635034E-01 7.653820398E-03 3.822244622E-01 6.902492470E-02 5.175970726E-02
 -4.867932556E+01 5.844274048E+00 8.248448624E+02 8.393168406E+06 3.702616646E+03 6.469126786E-01 2.345219343E-01 2.410013312E-01 7.644476265E-03 3.824312263E-01 6.885226294E-02 5.166253998E-02
 -4.580517044E+01 5.794901469E+00 8.410901142E+02 8.314460293E+06 3.699350729E+03 6.600379445E-01 2.343198325E-01 2.413196494E-01 7.635726856E-03 3.826255594E-01 6.868909311E-02 5.157179605E-02
 -4.301472859E+01 5.746254906E+00 8.569986105E+02 8.236463096E+06 3.696131669E+03 6.729125645E-01 2.341221193E-01 2.416310607E-01 7.627180571E-03 3.828156674E-01 6.852927517E-02 5.148328757E-02
 -4.030556173E+01 5.698615736E+00 8.725168605E+02 8.159573814E+06 3.692959832E+03 6.854946504E-01 2.339273608E-01 2.419378162E-01 7.618753035E-03 3.830031790E-01 6.837181467E-02 5.139607631E-02
 -3.767530265E+01 5.652001807E+00 8.876373659E+02 8.083844758E+06 3.689837039E+03 6.977774001E-01 2.337356410E-01 2.422397836E-01 7.610447860E-03 3.831880077E-01 6.821678367E-02 5.131019577E-02
 -3.512165306E+01 5.606483123E+00 9.023472521E+02 8.009405457E+06 3.686766198E+03 7.097496739E-01 2.335469204E-01 2.425370240E-01 7.602260366E-03 3.833702189E-01 6.806417589E-02 5.122558528E-02
 -3.264238161E+01 5.562084412E+00 9.166437673E+02 7.936388799E+06 3.683767393E+03 7.214050936E-01 2.333637686E-01 2.428254971E-01 7.594323195E-03 3.835470861E-01 6.791592000E-02 5.114367084E-02
 -3.023532195E+01 5.518837698E+00 9.305369560E+02 7.864610545E+06 3.680772207E+03 7.327628577E-01 2.331764373E-01 2.431205289E-01 7.586127872E-03 3.837289820E-01 6.776475833E-02 5.105895333E-02
 -2.789837083E+01 5.476120372E+00 9.441223714E+02 7.794284463E+06 3.678072347E+03 7.438435943E-01 2.330286696E-01 2.433533541E-01 7.579973819E-03 3.838691133E-01 6.764315990E-02 5.099631178E-02
 -2.562948624E+01 5.431213141E+00 9.578683228E+02 7.723326011E+06 3.674843713E+03 7.551155257E-01 2.328194981E-01 2.436827196E-01 7.570725498E-03 3.840732981E-01 6.747499200E-02 5.090052785E-02
 -2.342668567E+01 5.384544722E+00 9.718348466E+02 7.650042167E+06 3.671553997E+03 7.665788012E-01 2.326126836E-01 2.440083976E-01 7.561667970E-03 3.842743303E-01 6.730798899E-02 5.080706025E-02
 -2.128804434E+01 5.340151292E+00 9.852285663E+02 7.579983001E+06 3.668437987E+03 7.775830581E-01 2.324193464E-01 2.443128620E-01 7.553229674E-03 3.844620849E-01 6.715155820E-02 5.072016185E-02
 -1.921169354E+01 5.297288353E+00 9.982064907E+02 7.511926484E+06 3.665418413E+03 7.882625333E-01 2.322325954E-01 2.446069556E-01 7.545078924E-03 3.846435804E-01 6.700036561E-02 5.063631208E-02
 -1.719581897E+01 5.256076539E+00 1.010731626E+03 7.446086796E+06 3.662500206E+03 7.985862344E-01 2.320523210E-01 2.448908490E-01 7.537205441E-03 3.848189716E-01 6.685437203E-02 5.055538026E-02
 -1.523865919E+01 5.216444092E+00 1.022805157E+03 7.382383371E+06 3.659677782E+03 8.085546640E-01 2.318779995E-01 2.451653662E-01 7.529584442E-03 3.849887765E-01 6.671317582E-02 5.047709782E-02
 -1.333850407E+01 5.178341100E+00 1.034421787E+03 7.320784711E+06 3.656951831E+03 8.181620742E-01 2.317098719E-01 2.454301288E-01 7.522230267E-03 3.851527067E-01 6.657695132E-02 5.040161650E-02
 -1.149369327E+01 5.141723451E+00 1.045578707E+03 7.261210331E+06 3.654307241E+03 8.274079183E-01 2.315459456E-01 2.456882702E-01 7.515040335E-03 3.853128629E-01 6.644420765E-02 5.032782746E-02
 -9.702614826E+00 5.106471545E+00 1.056285675E+03 7.203705371E+06 3.651796300E+03 8.362876091E-01 2.313940976E-01 2.459274075E-01 7.508430810E-03 3.854607679E-01 6.632079404E-02 5.026022157E-02
 -7.963703715E+00 5.072527310E+00 1.066593568E+03 7.147362406E+06 3.649169497E+03 8.448918866E-01 2.312195941E-01 2.462021476E-01 7.500587504E-03 3.856335263E-01 6.618079196E-02 5.017924747E-02
 -6.275440500E+00 5.037902406E+00 1.076801121E+03 7.092568419E+06 3.646892176E+03 8.533326577E-01 2.310977408E-01 2.463941101E-01 7.495736600E-03 3.857448830E-01 6.608184379E-02 5.012834312E-02
 -4.636350000E+00 4.997402201E+00 1.088244064E+03 7.029696021E+06 3.643764724E+03 8.628858928E-01 2.308899022E-01 2.467212983E-01 7.486861531E-03 3.859401420E-01 6.591926914E-02 5.003213499E-02
 -3.045000000E+00 4.958843824E+00 1.099166961E+03 6.969745313E+06 3.640854850E+03 8.720038188E-01 2.307029119E-01 2.470156907E-01 7.478964428E-03 3.861149161E-01 6.577234441E-02 4.994676956E-02
 -1.500000000E+00 4.922291059E+00 1.109582461E+03 6.912624387E+06 3.638097051E+03 8.807084724E-01 2.305269676E-01 2.472926966E-01 7.471545976E-03 3.862793317E-01 6.563395100E-02 4.986666847E-02
 0.000000000E+00 4.887594257E+00 1.119533339E+03 6.858109747E+06 3.635470735E+03 8.890359401E-01 2.303598618E-01 2.475557877E-01 7.464500276E-03 3.864355835E-01 6.550244839E-02 4.979065287E-02
 1.500000000E+00 4.853775861E+00 1.129301249E+03 6.804687301E+06 3.632900175E+03 8.972212415E-01 2.301965255E-01 2.478129437E-01 7.457610402E-03 3.865884381E-01 6.537387532E-02 4.971636966E-02
 3.045000000E+00 4.819941648E+00 1.139142047E+03 6.750938808E+06 3.630313653E+03 9.054796745E-01 2.300320814E-01 2.480718423E-01 7.450665758E-03 3.867425137E-01 6.524442649E-02 4.964153711E-02
 4.636350000E+00 4.786247408E+00 1.149002173E+03 6.697117504E+06 3.627725448E+03 9.137664980E-01 2.298676296E-01 2.483307519E-01 7.443715705E-03 3.868967476E-01 6.511494753E-02 4.956669399E-02
 6.275440500E+00 4.752851378E+00 1.158823414E+03 6.643430189E+06 3.625132574E+03 9.220369192E-01 2.297017817E-01 2.485918536E-01 7.436682969E-03 3.870526534E-01 6.498447148E-02 4.949096878E-02
 7.963703715E+00 4.719817211E+00 1.168555330E+03 6.590200823E+06 3.622609199E+03 9.302342941E-01 2.295446858E-01 2.488391934E-01 7.430080888E-03 3.871997511E-01 6.486041612E-02 4.942006685E-02
 9.702614826E+00 4.687045680E+00 1.178243923E+03 6.536443259E+06 3.619881485E+03 9.384575799E-01 2.293579333E-01 2.491331519E-01 7.421959587E-03 3.873777885E-01 6.471475241E-02 4.933230657E-02
 1.149369327E+01 4.651133785E+00 1.188576629E+03 6.480190463E+06 3.617415573E+03 9.471183063E-01 2.292287464E-01 2.493366462E-01 7.416908798E-03 3.874945983E-01 6.461004123E-02 4.927900213E-02
 1.333850407E+01 4.592098537E+00 1.204977830E+03 6.389342692E+06 3.612548286E+03 9.610445547E-01 2.289020008E-01 2.498509480E-01 7.402812567E-03 3.878048191E-01 6.435424960E-02 4.912708797E-02
 1.523865919E+01 4.528307933E+00 1.222739346E+03 6.290650863E+06 3.607404817E+03 9.761388824E-01 2.285694871E-01 2.503743723E-01 7.388629727E-03 3.881190559E-01 6.409259451E-02 4.897482931E-02
 1.719581897E+01 4.468040770E+00 1.239676215E+03 6.196504698E+06 3.602533229E+03 9.905693110E-01 2.282575539E-01 2.508654070E-01 7.375345843E-03 3.884139635E-01 6.384676901E-02 4.883248905E-02
 1.921169354E+01 4.408455848E+00 1.256603106E+03 6.102367265E+06 3.597648158E+03 1.005040975E+00 2.279432095E-01 2.513602267E-01 7.361911609E-03 3.887120333E-01 6.359916190E-02 4.868863989E-02
 2.128804434E+01 4.344551181E+00 1.274919021E+03 6.000494891E+06 3.592429577E+03 1.020735719E+00 2.276134688E-01 2.518793008E-01 7.347883936E-03 3.890243864E-01 6.333872877E-02 4.853883770E-02
 2.342668567E+01 4.309024082E+00 1.285219964E+03 5.943048171E+06 3.589393186E+03 1.029611358E+00 2.274124584E-01 2.521956888E-01 7.339273851E-03 3.892145417E-01 6.318184029E-02 4.844561429E-02
 2.562948624E+01 4.298440603E+00 1.288094659E+03 5.926824057E+06 3.588585463E+03 1.032066084E+00 2.273663738E-01 2.522682481E-01 7.337494831E-03 3.892550092E-01 6.314588864E-02 4.842570751E-02
 2.789837083E+01 4.288486137E+00 1.290788529E+03 5.911808870E+06 3.587727586E+03 1.034384151E+00 2.273088005E-01 2.523588572E-01 7.335120568E-03 3.893073005E-01 6.310191499E-02 4.839894206E-02
 3.023532195E+01 4.271613757E+00 1.295385713E+03 5.886365177E+06 3.586295028E+03 1.038335374E+00 2.272145921E-01 2.525071293E-01 7.331263710E-03 3.893925582E-01 6.302977287E-02 4.835551037E-02
 3.264238161E+01 4.238239832E+00 1.304545604E+03 5.835768553E+06 3.583437404E+03 1.046220360E+00 2.270257595E-01 2.528043236E-01 7.323512675E-03 3.895637664E-01 6.288524949E-02 4.826825013E-02
 3.512165306E+01 4.179398553E+00 1.320859723E+03 5.745790591E+06 3.578359928E+03 1.060297701E+00 2.266903929E-01 2.533321376E-01 7.309729403E-03 3.898682997E-01 6.262853026E-02 4.811321830E-02
 3.767530265E+01 4.085669945E+00 1.347387663E+03 5.599799064E+06 3.569950774E+03 1.083335509E+00 2.261182877E-01 2.542324723E-01 7.285901005E-03 3.903922016E-01 6.219212595E-02 4.784524354E-02
 4.030556173E+01 3.982188550E+00 1.376828575E+03 5.438322570E+06 3.561570710E+03 1.108794490E+00 2.256316029E-01 2.549986508E-01 7.266809074E-03 3.908253420E-01 6.181287657E-02 4.763273551E-02
 4.301472859E+01 3.885349237E+00 1.403808729E+03 5.291128782E+06 3.552345565E+03 1.132491426E+00 2.249845462E-01 2.560167972E-01 7.239494629E-03 3.914235121E-01 6.132048782E-02 4.732623012E-02
 4.580517044E+01 3.797425412E+00 1.428548173E+03 5.156877062E+06 3.544197038E+03 1.154243437E+00 2.244413609E-01 2.568715737E-01 7.216913433E-03 3.919226293E-01 6.090435297E-02 4.707394326E-02
 4.867932556E+01 3.717903589E+00 1.451640044E+03 5.032128015E+06 3.536224210E+03 1.174781272E+00 2.238712133E-01 2.577686431E-01 7.192560411E-03 3.924547399E-01 6.047128187E-02 4.680132860E-02
 5.163970532E+01 3.652648283E+00 1.470085359E+03 4.933001874E+06 3.530846380E+03 1.190923671E+00 2.235813801E-01 2.582249337E-01 7.181591348E-03 3.927087883E-01 6.024329935E-02 4.667985564E-02
 5.468889648E+01 3.592885959E+00 1.486809747E+03 4.843520304E+06 3.524663059E+03 1.205869533E+00 2.231333952E-01 2.589297140E-01 7.163279490E-03 3.931079659E-01 5.991196769E-02 4.646495010E-02
 5.782956338E+01 3.532205696E+00 1.503967599E+03 4.752178553E+06 3.518616767E+03 1.221183016E+00 2.227187263E-01 2.595821400E-01 7.146636789E-03 3.934743326E-01 5.960325914E-02 4.627006971E-02
 6.106445028E+01 3.463199427E+00 1.523970636E+03 4.646312655E+06 3.511440967E+03 1.239171017E+00 2.222100515E-01 2.603824165E-01 7.125918779E-03 3.939278689E-01 5.922600167E-02 4.602763952E-02
 6.439638379E+01 3.387310980E+00 1.545941930E+03 4.530782921E+06 3.504711996E+03 1.258679215E+00 2.218335584E-01 2.609750114E-01 7.112025591E-03 3.942475945E-01 5.893800518E-02 4.586640159E-02
 6.782827530E+01 3.307286669E+00 1.568719222E+03 4.412027531E+06 3.495852723E+03 1.279385059E+00 2.211819837E-01 2.619999788E-01 7.085093560E-03 3.948341175E-01 5.845626786E-02 4.555189660E-02
 7.136312356E+01 3.217776825E+00 1.594903501E+03 4.276871021E+06 3.485839913E+03 1.303312918E+00 2.204516247E-01 2.631488797E-01 7.054898876E-03 3.954928761E-01 5.791567466E-02 4.520000403E-02
