# Axial (center line) profile RAO nozzle / chemical equilibrium / Kerosene conditions
# Columns:
# 1: Axial distance from throat [mm]
# 2: Density [kg/m3]
# 3: axial velocity [m/s]
# 4: pressure [Pa]
# 5: temperature [K]
# 6: Mach number [1]
# 7-12: Mass fractions of major species: CO, CO2, H2, H2O, OH, O2
 -5.782956338E+01 6.768315542E+00 7.404746841E+02 8.766017675E+06 3.564388550E+03 6.072087286E-01 4.393579418E-01 2.517607419E-01 9.527170251E-03 2.599690965E-01 2.774217030E-02 7.308973753E-03
 -5.468889648E+01 6.713301576E+00 7.565752648E+02 8.684900131E+06 3.560798822E+03 6.207860798E-01 4.392025730E-01 2.520059960E-01 9.524747109E-03 2.600934207E-01 2.761280413E-02 7.257476331E-03
 -5.163970532E+01 6.659039171E+00 7.723583642E+02 8.604313650E+06 3.557127181E+03 6.341190578E-01 4.390536643E-01 2.522410779E-01 9.522953570E-03 2.602080207E-01 2.748675771E-02 7.211193669E-03
 -4.867932556E+01 6.605585729E+00 7.878092334E+02 8.524436487E+06 3.553487690E+03 6.471976015E-01 4.389054815E-01 2.524750058E-01 9.521155540E-03 2.603221873E-01 2.736148587E-02 7.164982042E-03
 -4.580517044E+01 6.553006412E+00 8.029170985E+02 8.445340042E+06 3.549872302E+03 6.600134700E-01 4.387573791E-01 2.527087945E-01 9.519338307E-03 2.604365787E-01 2.723638325E-02 7.118581196E-03
 -4.301472859E+01 6.501256483E+00 8.176789606E+02 8.367247515E+06 3.546364195E+03 6.725538348E-01 4.386149003E-01 2.529337209E-01 9.517615930E-03 2.605458632E-01 2.711649313E-02 7.074128193E-03
 -4.030556173E+01 6.450605471E+00 8.320989715E+02 8.289456803E+06 3.542627502E+03 6.848624024E-01 4.384554416E-01 2.531853539E-01 9.515520431E-03 2.606718616E-01 2.698120669E-02 7.022886771E-03
 -3.767530265E+01 6.398796190E+00 8.463460778E+02 8.213625776E+06 3.539392203E+03 6.969656679E-01 4.383311622E-01 2.533816239E-01 9.514175439E-03 2.607632587E-01 2.687825608E-02 6.985467563E-03
 -3.512165306E+01 6.343212285E+00 8.609864475E+02 8.133578229E+06 3.535354907E+03 7.094774064E-01 4.381605578E-01 2.536508251E-01 9.511977020E-03 2.608967310E-01 2.673406802E-02 6.931110102E-03
 -3.264238161E+01 6.289366535E+00 8.751757606E+02 8.055860598E+06 3.531525716E+03 7.216146627E-01 4.380006712E-01 2.539031357E-01 9.509956504E-03 2.610206907E-01 2.659957433E-02 6.880468144E-03
 -3.023532195E+01 6.236901480E+00 8.889907211E+02 7.979753641E+06 3.527805419E+03 7.334515166E-01 4.378455717E-01 2.541478940E-01 9.508000964E-03 2.611406423E-01 2.646943651E-02 6.831337282E-03
 -2.789837083E+01 6.185988438E+00 9.024092168E+02 7.905454013E+06 3.524180477E+03 7.449705344E-01 4.376940618E-01 2.543869824E-01 9.506081860E-03 2.612578404E-01 2.634251447E-02 6.783224568E-03
 -2.562948624E+01 6.136659428E+00 9.154242897E+02 7.833020726E+06 3.520647115E+03 7.561653623E-01 4.375458302E-01 2.546208900E-01 9.504192037E-03 2.613726142E-01 2.621850021E-02 6.736006311E-03
 -2.342668567E+01 6.088917776E+00 9.280255957E+02 7.762513092E+06 3.517213262E+03 7.670251770E-01 4.374013981E-01 2.548487973E-01 9.502342162E-03 2.614844782E-01 2.609784530E-02 6.689886227E-03
 -2.128804434E+01 6.042730133E+00 9.402073632E+02 7.693870086E+06 3.513862398E+03 7.775462679E-01 4.372597152E-01 2.550723569E-01 9.500511335E-03 2.615944346E-01 2.597958712E-02 6.644467634E-03
 -1.921169354E+01 5.997941337E+00 9.519745769E+02 7.627126702E+06 3.510663180E+03 7.877216529E-01 4.371256731E-01 2.552838737E-01 9.498804524E-03 2.616977089E-01 2.586816517E-02 6.601681137E-03
 -1.719581897E+01 5.954586893E+00 9.633543333E+02 7.561398317E+06 3.507291637E+03 7.976195033E-01 4.369774010E-01 2.555177631E-01 9.496767641E-03 2.618153434E-01 2.574378179E-02 6.553038723E-03
 -1.523865919E+01 5.910392348E+00 9.745874370E+02 7.497365621E+06 3.504386787E+03 8.073233351E-01 4.368621968E-01 2.556996172E-01 9.495440654E-03 2.619005122E-01 2.564960313E-02 6.517456838E-03
 -1.333850407E+01 5.860735473E+00 9.866404152E+02 7.426818740E+06 3.500584574E+03 8.178120818E-01 4.366966142E-01 2.559607948E-01 9.493207513E-03 2.620306167E-01 2.551123599E-02 6.463576026E-03
 -1.149369327E+01 5.813157126E+00 9.981773755E+02 7.359126791E+06 3.497032125E+03 8.278574604E-01 4.365440518E-01 2.562014572E-01 9.491193404E-03 2.621492610E-01 2.538443694E-02 6.414264430E-03
 -9.702614826E+00 5.767455109E+00 1.009267304E+03 7.293752136E+06 3.493615516E+03 8.375316055E-01 4.363971934E-01 2.564331194E-01 9.489251411E-03 2.622633742E-01 2.526261407E-02 6.366728224E-03
 -7.963703715E+00 5.723664202E+00 1.019920958E+03 7.230744465E+06 3.490324535E+03 8.468434602E-01 4.362552824E-01 2.566569719E-01 9.487364975E-03 2.623737209E-01 2.514504944E-02 6.320670237E-03
 -6.275440500E+00 5.681863399E+00 1.030138900E+03 7.170261491E+06 3.487167369E+03 8.557906842E-01 4.361187262E-01 2.568723724E-01 9.485540693E-03 2.624799735E-01 2.503206467E-02 6.276237090E-03
 -4.636350000E+00 5.642247729E+00 1.039905559E+03 7.112544357E+06 3.484062253E+03 8.643546550E-01 4.359928000E-01 2.570710235E-01 9.484299169E-03 2.625743253E-01 2.492633863E-02 6.237830216E-03
 -3.045000000E+00 5.604892969E+00 1.049209085E+03 7.057823326E+06 3.481096471E+03 8.725234071E-01 4.358743829E-01 2.572578312E-01 9.483243679E-03 2.626621191E-01 2.482658694E-02 6.202332394E-03
 -1.500000000E+00 5.569485170E+00 1.058107740E+03 7.005676376E+06 3.478263326E+03 8.803489955E-01 4.357607123E-01 2.574371445E-01 9.482217113E-03 2.627465785E-01 2.473088841E-02 6.168121894E-03
 0.000000000E+00 5.535975653E+00 1.066601056E+03 6.956173988E+06 3.475600091E+03 8.878236511E-01 4.356542093E-01 2.576051547E-01 9.481262997E-03 2.628254176E-01 2.464145157E-02 6.136111371E-03
 1.500000000E+00 5.503076070E+00 1.075000326E+03 6.907017767E+06 3.472847260E+03 8.952457669E-01 4.355409489E-01 2.577837892E-01 9.480173640E-03 2.629108938E-01 2.454581439E-02 6.101426970E-03
 3.045000000E+00 5.468095733E+00 1.083814342E+03 6.856170773E+06 3.470420161E+03 9.029689352E-01 4.354518329E-01 2.579244577E-01 9.479560832E-03 2.629723081E-01 2.447294648E-02 6.076155825E-03
 4.636350000E+00 5.423867304E+00 1.094527990E+03 6.793757885E+06 3.466560778E+03 9.124524247E-01 4.352897555E-01 2.581800201E-01 9.477934889E-03 2.630959398E-01 2.433557621E-02 6.026059340E-03
 6.275440500E+00 5.374449329E+00 1.106341815E+03 6.724167081E+06 3.462450614E+03 9.229075744E-01 4.351212136E-01 2.584458161E-01 9.476334357E-03 2.632221230E-01 2.419390375E-02 5.974675107E-03
 7.963703715E+00 5.326080047E+00 1.117931254E+03 6.655726290E+06 3.458456166E+03 9.331811428E-01 4.349579207E-01 2.587033390E-01 9.474794297E-03 2.633438697E-01 2.405709746E-02 5.924931127E-03
 9.702614826E+00 5.278258093E+00 1.129397982E+03 6.587648853E+06 3.454501566E+03 9.433694919E-01 4.347960219E-01 2.589586602E-01 9.473261055E-03 2.634644762E-01 2.392174940E-02 5.875510472E-03
 1.149369327E+01 5.231551032E+00 1.140612287E+03 6.520719470E+06 3.450619173E+03 9.533591416E-01 4.346365185E-01 2.592101976E-01 9.471736711E-03 2.635833816E-01 2.378861418E-02 5.826658579E-03
 1.333850407E+01 5.186859235E+00 1.151364870E+03 6.456260613E+06 3.446883670E+03 9.629619145E-01 4.344824792E-01 2.594531117E-01 9.470250670E-03 2.636983151E-01 2.366022788E-02 5.779319549E-03
 1.523865919E+01 5.145410301E+00 1.161363659E+03 6.396090885E+06 3.443393724E+03 9.719144917E-01 4.343378946E-01 2.596811087E-01 9.468839785E-03 2.638063733E-01 2.353985241E-02 5.734712777E-03
 1.719581897E+01 5.108842704E+00 1.170209626E+03 6.342757159E+06 3.440320155E+03 9.798491028E-01 4.342105995E-01 2.598818420E-01 9.467597884E-03 2.639013349E-01 2.343410880E-02 5.695409856E-03
 1.921169354E+01 5.079086971E+00 1.177423769E+03 6.298989167E+06 3.437743780E+03 9.863442336E-01 4.341021384E-01 2.600528573E-01 9.466499434E-03 2.639831049E-01 2.334376899E-02 5.661565689E-03
 2.128804434E+01 5.056454925E+00 1.182883026E+03 6.266049458E+06 3.435973522E+03 9.912347354E-01 4.340317346E-01 2.601639073E-01 9.465878054E-03 2.640338796E-01 2.328616607E-02 5.640339750E-03
 2.342668567E+01 5.016061327E+00 1.192238077E+03 6.209854109E+06 3.432506528E+03 9.996398582E-01 4.338866069E-01 2.603927211E-01 9.464433309E-03 2.641424878E-01 2.316562100E-02 5.595336207E-03
 2.562948624E+01 4.932777896E+00 1.211618891E+03 6.093834245E+06 3.425155277E+03 1.017116719E+00 4.335741010E-01 2.608853746E-01 9.461214814E-03 2.643783575E-01 2.290576863E-02 5.497448311E-03
 2.789837083E+01 4.822107066E+00 1.237699257E+03 5.938041948E+06 3.415538254E+03 1.040712079E+00 4.331679118E-01 2.615257376E-01 9.457085429E-03 2.646822160E-01 2.257054090E-02 5.370389706E-03
 3.023532195E+01 4.703853634E+00 1.266448945E+03 5.766654982E+06 3.404047525E+03 1.067010734E+00 4.326894505E-01 2.622798986E-01 9.453218880E-03 2.650381157E-01 2.216873176E-02 5.225075456E-03
 3.264238161E+01 4.621175204E+00 1.285735653E+03 5.652004750E+06 3.397106646E+03 1.084502339E+00 4.324347596E-01 2.626815652E-01 9.452295393E-03 2.652083670E-01 2.195997062E-02 5.155590750E-03
 3.512165306E+01 4.549872305E+00 1.302362160E+03 5.553407817E+06 3.390053352E+03 1.099769523E+00 4.321519883E-01 2.631272477E-01 9.450626172E-03 2.654120576E-01 2.172240557E-02 5.073272357E-03
 3.767530265E+01 4.487053863E+00 1.317144117E+03 5.465945681E+06 3.383944512E+03 1.113371437E+00 4.319085490E-01 2.635109511E-01 9.449222586E-03 2.655858869E-01 2.151915848E-02 5.002560777E-03
 4.030556173E+01 4.437078568E+00 1.329033677E+03 5.395734832E+06 3.379054529E+03 1.124349259E+00 4.317127343E-01 2.638195807E-01 9.448067877E-03 2.657258424E-01 2.135603637E-02 4.945398480E-03
 4.301472859E+01 4.391549528E+00 1.339939236E+03 5.331445188E+06 3.374659176E+03 1.134434589E+00 4.315376276E-01 2.640955800E-01 9.447056044E-03 2.658501034E-01 2.121088463E-02 4.894387154E-03
 4.580517044E+01 4.340804732E+00 1.352366777E+03 5.258327893E+06 3.369296247E+03 1.146039047E+00 4.313143002E-01 2.644474944E-01 9.445522311E-03 2.660141099E-01 2.102369960E-02 4.827310127E-03
 4.867932556E+01 4.289437602E+00 1.364483492E+03 5.187249503E+06 3.364863864E+03 1.157196949E+00 4.311479315E-01 2.647098050E-01 9.444815669E-03 2.661250616E-01 2.088956384E-02 4.780802631E-03
 5.163970532E+01 4.227667825E+00 1.378887983E+03 5.103072754E+06 3.358322400E+03 1.170655522E+00 4.308749534E-01 2.651399129E-01 9.442937180E-03 2.663245470E-01 2.066174242E-02 4.698834214E-03
 5.468889648E+01 4.148047178E+00 1.397646542E+03 4.994029316E+06 3.350204931E+03 1.188191480E+00 4.305411999E-01 2.656658198E-01 9.440755511E-03 2.665644124E-01 2.038599440E-02 4.599356843E-03
 5.782956338E+01 4.045612167E+00 1.422561981E+03 4.850114098E+06 3.338922504E+03 1.211761602E+00 4.300590543E-01 2.664253982E-01 9.437152258E-03 2.669202629E-01 1.998511126E-02 4.451702174E-03
 6.106445028E+01 3.940251443E+00 1.447715761E+03 4.706035122E+06 3.328808202E+03 1.235326733E+00 4.296808905E-01 2.670214349E-01 9.436264081E-03 2.671686423E-01 1.967932743E-02 4.348432230E-03
 6.439638379E+01 3.833989020E+00 1.473134364E+03 4.561852555E+06 3.316437363E+03 1.259514702E+00 4.292051818E-01 2.677708822E-01 9.435622465E-03 2.674923529E-01 1.928159881E-02 4.219072894E-03
 6.782827530E+01 3.723631900E+00 1.500622207E+03 4.407467670E+06 3.302452712E+03 1.286067619E+00 4.286449760E-01 2.686532664E-01 9.434235844E-03 2.678856649E-01 1.881022479E-02 4.061401822E-03
 7.136312356E+01 3.621749119E+00 1.525200814E+03 4.271039730E+06 3.291994836E+03 1.309440660E+00 4.282620539E-01 2.692566677E-01 9.434230491E-03 2.681280845E-01 1.850220917E-02 3.960753890E-03
 7.500401727E+01 3.518503321E+00 1.550549100E+03 4.132065480E+06 3.279146349E+03 1.334044461E+00 4.277463496E-01 2.700688900E-01 9.432924610E-03 2.684848774E-01 1.807449877E-02 3.815040845E-03
 7.875413778E+01 3.412183257E+00 1.577352963E+03 3.986966588E+06 3.266393783E+03 1.360157825E+00 4.272389380E-01 2.708680858E-01 9.431739390E-03 2.688296636E-01 1.765937358E-02 3.671981594E-03
